"","chinese_id","star","count","name","city","state","latitude","longtitude"
"22","129478","2.5","12","Jade Fine Chinese Dining","Phoenix","AZ","33.7971416","-112.1180452"
"23","10168","3.46153846153846","26","Fortune Chinese Restaurant","Las Vegas","NV","36.1440254","-115.1938769"
"24","2796","3.53846153846154","13","Lee Asian Bistro","Madison","WI","43.0699604","-89.3259043"
"25","55428","3.57638888888889","144","KooKoo Chicken","Mississauga","ON","43.586622408","-79.6990653767"
"26","165265","3.16666666666667","18","Shanghai Palace Restaurant","Calgary","AB","51.1382074284","-114.1574763741"
"27","167409","3","13","Niwan Rolls King","Toronto","ON","43.804666915","-79.2867640033"
"28","91649","3.66666666666667","21","Tangerine Asian Cuisine","Mississauga","ON","43.5862087814","-79.74122344"
"29","46488","4.25925925925926","135","Blue Ginger Asian Bistro","Parma","OH","41.3598122952","-81.6856487672"
"30","182589","4","6","Soho Cafe Chinese Cuisine & Bar","Harrisburg","NC","35.3271726","-80.6480489"
"31","7245","3","15","Happy Garden","Medina","OH","41.1378021","-81.8214969"
"32","78276","3.68224299065421","107","Tottie's Asian Kitchen","Scottsdale","AZ","33.639741","-111.9443776"
"33","77679","4.06032482598608","431","GB Hand-pulled Noodles","Toronto","ON","43.6567548","-79.3837248"
"34","163925","3.30769230769231","13","M.Gao","Montr®¶al","QC","45.4958614157","-73.5789760532"
"35","151960","3.38461538461538","13","Canton Chang Fen","Markham","ON","43.8497806727","-79.3473188952"
"36","149506","3.35631154879141","1117","Noodle Asia","Las Vegas","NV","36.122689","-115.170163"
"37","66296","2.96969696969697","66","Gou Bu Li","Richmond Hill","ON","43.8439761","-79.3878015"
"38","104723","2.84210526315789","19","Oriental Wok","Madison","WI","43.0611378","-89.4010411"
"39","114752","3.29166666666667","24","Ginger Beef Peking House","Calgary","AB","50.9693530747","-114.0723902227"
"40","46286","2.34375","32","Panda Express","Avondale","AZ","33.4490139","-112.3079079"
"41","173040","3.2","5","Jen's Noodle House","Airdrie","AB","51.2866520073","-114.0142864287"
"42","19677","3.5","4","Tim-Jas Thai & Chinese","Mississauga","ON","43.5319918","-79.6124489"
"43","135979","2.91666666666667","12","Dumpling Buffet","Toronto","ON","43.807745179","-79.2895870283"
"44","115247","3.55555555555556","81","Restaurant PM","Montr®¶al","QC","45.493736","-73.579644"
"45","154044","4.14285714285714","7","Jade Palace","Scottsdale","AZ","33.5557353","-111.8988152"
"46","190015","3.66666666666667","3","The Golden Oriental Palace Chinese Cuisine","Scarborough","ON","43.7883095","-79.268081"
"47","176386","3.36585365853659","123","Tracy Dessert","Markham","ON","43.8489358887","-79.3478012802"
"48","180155","4","3","Destination Pearl House","Calgary","AB","51.0666649","-114.0628763"
"49","134626","3.66666666666667","6","Maison Guang Zhou","Montr®¶al","QC","45.507047","-73.560486"
"50","158102","3.51685393258427","178","Wo Fat","Las Vegas","NV","36.1299291","-115.093628"
"51","27592","2.65","40","Asian Legend","Markham","ON","43.8185880219","-79.3309036583"
"52","92905","4.28571428571429","35","Golden Palace","Monroeville","PA","40.4451678","-79.7128515"
"53","187566","3.66666666666667","3","Dragon Restaurant","Rocky River","OH","41.4788179","-81.840142"
"54","93298","3.4","10","Shan Dong Chinese Restaurant","Las Vegas","NV","36.1270191","-115.2250095"
"55","111667","2.78571428571429","14","Fu Lam","Montr®¶al","QC","45.4439834839","-73.6162743853"
"56","14606","3.24590163934426","61","Keung's Restaurant","Markham","ON","43.8607259","-79.304713"
"57","152142","3.33333333333333","90","Koji Sushi Bar and China Bistro","Las Vegas","NV","36.1022995155","-115.2024506405"
"58","175829","4.29802259887006","708","Pan Asian","Las Vegas","NV","36.1349835","-115.2784336"
"59","36054","2.75","4","Just Noodles","Montr®¶al","QC","45.491786","-73.5818709"
"60","124609","3","4","Hot Pot Garden","Toronto","ON","43.8228248","-79.3010002"
"61","17001","2.92","25","Lotus Chinese Cuisine","Charlotte","NC","35.3348305","-80.7946048"
"62","177124","3.6","5","Calypso Hut Family Restaurant and Bar","Brampton","ON","43.7017176","-79.7425213"
"63","139740","3.90909090909091","220","Dragon Palace","Phoenix","AZ","33.6124852","-112.012193"
"64","74251","4","4","Jade Chinese Restaurant","York","ON","43.6967642","-79.4462269"
"65","23028","2.91666666666667","12","Smiles Chinese Food","Northfield","OH","41.3135096898","-81.5569987893"
"66","176617","3.125","24","Seoul House","Thornhill","ON","43.7967303","-79.4264179"
"67","97571","3.57142857142857","49","Let's Eat Noodles","Chandler","AZ","33.3200036","-111.8583025"
"68","95525","3.30188679245283","53","Chat Bar","Toronto","ON","43.822058","-79.298592"
"69","181995","3","3","Pepper Chili","Toronto","ON","43.665329","-79.3528595"
"70","13315","3.8125","16","Szechuan Express","Mississauga","ON","43.5928396304","-79.6419370402"
"71","87117","2.5","4","Cun Wei Chinese Restaurant","Markham","ON","43.8891304078","-79.3148598075"
"72","17693","2.4","5","Tea A Break Tea House","Toronto","ON","43.8039202","-79.2863821"
"73","131512","3.23076923076923","26","Fat Kee Noodle House","Calgary","AB","51.0798067","-113.9979131"
"74","54990","3.55026455026455","189","Luckee","Toronto","ON","43.6446974","-79.3923951"
"75","61748","3.80188679245283","106","Yan's","Phoenix","AZ","33.4801128","-112.2575424"
"76","115404","3","3","Jet Garden Chinese Food","Whitby","ON","43.8777353","-78.9495509"
"77","26472","3.60204081632653","98","King Wah","Rocky River","OH","41.4630934","-81.849458"
"78","135571","3.30769230769231","39","Sweet Culture","Markham","ON","43.86123","-79.3049625"
"79","67234","3.71428571428571","14","Silver Palace Chinese Restaurant","Pittsburgh","PA","40.3773915","-80.0037401"
"80","157938","2.91666666666667","24","China Wok","Middleton","WI","43.0967246413","-89.4980389997"
"81","50233","3.28","75","Golden Court Abalone Restaurant","Richmond Hill","ON","43.844317723","-79.3882128596"
"82","180689","3.35849056603774","53","Hong Kong Station","Madison","WI","43.067569","-89.410727"
"83","160186","2.83333333333333","12","BaBa's Chinese Kitchen","Las Vegas","NV","36.2042","-115.244994"
"84","70551","3.16666666666667","18","Chop Chop Chinese Kitchen","Litchfield Park","AZ","33.508972","-112.3415194"
"85","9877","3.5","12","Wok-A-Way Chinese Food & Wings","Mississauga","ON","43.5271536418","-79.676365514"
"86","57743","3.66666666666667","3","Asian Village Wok and Grill","Calgary","AB","51.0462196","-114.0783388"
"87","20376","3.43333333333333","30","Kam Shing","Montr®¶al","QC","45.5032173","-73.6381055"
"88","35546","2.90322580645161","62","Panda Express","Las Vegas","NV","36.0627325626","-115.2429848747"
"89","84719","2.83333333333333","24","Ichiban Buffet","Charlotte","NC","35.204845","-80.721379"
"90","173451","3.4","5","Apple Inn","Calgary","AB","51.0736152","-114.0566103"
"91","153494","3.72222222222222","18","Hunan Inn","McMurray","PA","40.2706066","-80.1262667"
"92","75627","3.625","8","Hong Kong Express II","Pittsburgh","PA","40.437018","-79.997166"
"93","143790","3.87845303867403","181","Sky Asian Bistro","Pineville","NC","35.0867844","-80.8810593"
"94","133736","2.25","40","Panda Express","Goodyear","AZ","33.463297","-112.341479"
"95","76959","2.78571428571429","28","Happy Jade Seafood Chinese Restaurant","Mississauga","ON","43.6104956","-79.5837496"
"96","63144","4.48717948717949","39","Bangkok Thai Restaurant","Stow","OH","41.1673719905","-81.4399877563"
"97","173630","4.04","25","Restaurant Shi Tang","Montr®¶al","QC","45.4951662","-73.5794815"
"98","142471","2.69230769230769","104","Mr. Hunan","Tempe","AZ","33.4227278","-111.9514573"
"99","182335","3.25","20","Golden Palace Restaurant","Brampton","ON","43.7492831","-79.7275433"
"100","27506","1","3","Panda Express","Mesa","AZ","33.3254085","-111.6871411"
"101","90949","3.23529411764706","17","China 8","Mississauga","ON","43.5589212189","-79.742916216"
"102","188906","3.44736842105263","38","Buffet Yangtze","Calgary","AB","51.1085655575","-114.0400811411"
"103","180224","4.25","4","China Kitchen","Lagrange","OH","41.2458578513","-82.118034102"
"104","99132","3.8135593220339","59","Bao Bao Dim Sum","Montr®¶al","QC","45.5071148","-73.5609039"
"105","111867","2.44444444444444","9","Zen Buffet","Glendale","AZ","33.6383418","-112.2163379"
"106","56447","2.88636363636364","44","JC Cuisine","Las Vegas","NV","36.106622","-115.136342"
"107","19711","2.38461538461538","13","Canton Wong","Phoenix","AZ","33.476641","-112.012479"
"108","177073","3.68831168831169","77","1915 Lan Zhou Ramen","Toronto","ON","43.654996395","-79.3867961531"
"109","182973","3","4","Chop Sticks","Pittsburgh","PA","40.4341822","-79.9230114"
"110","29567","3.1","10","China Star","Cleveland","OH","41.4629421368","-81.76851511"
"111","112900","3.78","100","Chef Ben Sushi & Asian Express","Goodyear","AZ","33.4654778","-112.3560366"
"112","134859","4.5","8","Sichuan Hot Pot Cuisine","Cleveland","OH","41.5085297","-81.6779394"
"113","57261","3.65714285714286","70","Mekong Restaurant","Pittsburgh","PA","40.395543","-80.034904"
"114","77312","2.96969696969697","33","Bamboo Grille","Phoenix","AZ","33.6664543152","-112.1245269775"
"115","168601","2.66666666666667","3","Grand Ocean Restaurant","Scarborough","ON","43.7869274","-79.2740715"
"116","129849","2.25373134328358","67","Spicy City","Las Vegas","NV","36.1253808","-115.1959803"
"117","182346","2","7","California Thai","Toronto","ON","43.7686976","-79.4131633"
"118","93121","3.25","8","Wok In Express","Henderson","NV","36.030262","-115.029916"
"119","42522","2.90909090909091","11","South China Wok Restaurant","Broadview Heights","OH","41.3133837","-81.6822908"
"120","168420","3.8","5","Spice and Aroma","Mississauga","ON","43.5838643","-79.6127916"
"121","49599","2.73684210526316","19","Panda Express","Phoenix","AZ","33.437548","-111.999108"
"122","184982","3","3","Eating Garden Chinese Restaurant","Toronto","ON","43.6557848","-79.3937013"
"123","55511","3.92857142857143","14","Lamb Kebab - Savory Chinese Crepes","Toronto","ON","43.6531496605","-79.3974486528"
"124","75410","3","9","Spicy Mafia","Toronto","ON","43.6588332","-79.3942219"
"125","167105","2.1","10","NY Seafood Buffet","Glendale","AZ","33.6377979","-112.168226"
"126","44978","3.4688995215311","209","Jogoya Sushi Seafood Buffet","Chandler","AZ","33.2767552948","-111.7921988809"
"127","167605","1.8","5","River Star Restaurant","Richmond Hill","ON","43.8493145","-79.3777871"
"128","148808","4.02072538860104","193","F®≤ Asian Kitchen","Las Vegas","NV","36.109157","-115.154976"
"129","143032","3.48717948717949","39","Rice To You","Phoenix","AZ","33.4664341","-112.1696754"
"130","188648","4.01550387596899","258","China Tango","Henderson","NV","36.029537376","-115.0858369097"
"131","147959","3.5","6","Trendee Chinese Cuisine","Toronto","ON","43.7082593775","-79.3425049654"
"132","169154","3.91666666666667","12","Good China Restaurant","Peoria","AZ","33.5768336713","-112.239118"
"133","48240","3.15135135135135","185","Jacky Chan","Las Vegas","NV","36.0216106","-115.277674"
"134","60499","2.53846153846154","65","Panda Express","Henderson","NV","36.041158","-115.047221"
"135","147851","3.60975609756098","41","JXY Dumpling Restaurant","Toronto","ON","43.805176","-79.287318"
"136","45759","3.11111111111111","9","China Garden","Pittsburgh","PA","40.5109338","-79.9461767"
"137","30675","3.85714285714286","14","Red Gate Wok","Las Vegas","NV","36.1263808965","-115.2416794466"
"138","146591","3.2962962962963","27","Kim Moon Bakery","Toronto","ON","43.6535087","-79.3957156"
"139","185997","4.11111111111111","9","Hong Phat Restaurant","Charlotte","NC","35.2369303","-80.8743807"
"140","105498","2.2962962962963","27","Panda Express","Gilbert","AZ","33.2817211","-111.7889754"
"141","125118","3.25","12","La Casita Chinese Eatery","Toronto","ON","43.6535911","-79.3948254"
"142","100372","3.36363636363636","77","Dragon Buffet","Charlotte","NC","35.1457769","-80.9365337"
"143","43982","2.98684210526316","76","Kirin Buffet","Las Vegas","NV","36.115613","-115.132619"
"144","115814","3.33333333333333","3","Kam Fai 38 Restaurant","Scarborough","ON","43.828043","-79.2875191"
"145","81643","2.76666666666667","30","Full House Chinese Cuisine","Scarborough","ON","43.804821","-79.287172"
"146","24285","2.25","4","China Town","Toronto","ON","43.7064074","-79.5048956"
"147","120567","3.2972972972973","148","Not Just Noodles","Toronto","ON","43.6649906","-79.3847491"
"148","35826","2.08571428571429","35","Chopsticks","Charlotte","NC","35.310582","-80.716074"
"149","24550","2.94117647058824","17","Ming Moon Chinese Restaurant","North Royalton","OH","41.3154135","-81.783175"
"150","54428","3.18691588785047","107","Axia Restaurant & Bar","Mississauga","ON","43.552083","-79.714734"
"151","31136","2.86206896551724","29","Hutaoli Music Restaurant & Bar","Scarborough","ON","43.7987344544","-79.3180595952"
"152","8536","2.73333333333333","45","Lotus Buffet","Charlotte","NC","35.3171937","-80.740204"
"153","93642","4","8","Lin's Chinese Bun","Toronto","ON","43.804434","-79.288432"
"154","46535","3.47058823529412","17","Hi Shanghai Restaurant","Scarborough","ON","43.8245265","-79.3033537"
"155","10903","1.5","4","Eastern Buffet","Phoenix","AZ","33.4799005","-112.046838"
"156","64135","5","5","Ten Ten Dim Sum","Markham","ON","43.8189308","-79.3306248"
"157","124508","3.53846153846154","13","Ben Brothers Market","Phoenix","AZ","33.4512201","-112.0457432"
"158","41343","2.27272727272727","11","Pacific Buffet","Las Vegas","NV","36.272939","-115.2665268"
"159","166883","3.70588235294118","17","Brothers Bakery","Markham","ON","43.8253516","-79.3074355"
"160","101708","4.06121610517666","2434","SUSHISAMBA - Las Vegas","Las Vegas","NV","36.1245818974","-115.1675528772"
"161","166948","4.78846153846154","52","Kood Tea Bar & Cafe","Tempe","AZ","33.3832436","-111.9257015"
"162","50955","2.67741935483871","31","Dean's House","Strongsville","OH","41.309764","-81.834169"
"163","52755","3.78125","32","Oxtail Pho & Banh Mi","Toronto","ON","43.6518894","-79.4089993"
"164","27881","3.41463414634146","82","Lotus Chinese Restaurant & Lounge","Henderson","NV","36.0316495","-114.9814807"
"165","36542","3.125","8","China King","Charlotte","NC","35.225825","-80.846495"
"166","28500","3.46875","32","Golden Dragon","Cuyahoga Falls","OH","41.1278723","-81.5087648"
"167","155182","3.72727272727273","11","Chong Chin","Davidson","NC","35.442541","-80.762023"
"168","9105","4.3","10","Golden Star","Hampton Township","PA","40.5905329","-79.9483052"
"169","162874","3.75","8","Chicken & Noodles Chinese Restaurant","Scarborough","ON","43.7860242","-79.2760661"
"170","154435","2.32432432432432","37","Jumbo Buffet","Phoenix","AZ","33.3931495","-112.1317218"
"171","185193","3.10810810810811","37","Sakura Sushi Teppan Steak","Surprise","AZ","33.637391272","-112.4139643388"
"172","133142","2.78740157480315","254","Perfect Chinese Restaurant","Scarborough","ON","43.787379","-79.270282"
"173","122533","3.71428571428571","42","Spice Spirit Chinese Cuisine and Bar","Mesa","AZ","33.4133181","-111.8740924"
"174","124808","2.52112676056338","71","Genghis Grill","Charlotte","NC","35.2205241","-80.944528"
"175","99474","2.5","4","Kenly's Noodle","Toronto","ON","43.785592","-79.2774536"
"176","19793","3.25","16","China Gourmet","Akron","OH","41.113899","-81.578352"
"177","123053","2.30769230769231","13","Wok Bo Chinese Restaurant","Charlotte","NC","35.270702","-80.937229"
"178","149214","2.66666666666667","6","Le Palais Imp®¶rial","Kirkland","QC","45.4579419","-73.8627436"
"179","114929","4.40694006309148","317","Wong's Chinese Cuisine","Phoenix","AZ","33.4942321105","-112.288113428"
"180","167587","3.8","10","Northeastern Kitchen","Pittsburgh","PA","40.4377489","-79.92187"
"181","97925","4.078125","64","Taiwan Little Eats","Madison","WI","43.0749538","-89.3907598"
"182","139502","3.35294117647059","51","Regency Palace","Calgary","AB","51.0496259","-114.062242"
"183","171657","1.33333333333333","3","Dundas Garden","Toronto","ON","43.6530506","-79.3968456"
"184","48166","2.83333333333333","12","China Express","Rantoul","IL","40.313236","-88.1381107"
"185","115339","3.5","6","Pho C<U+00F4>te-Vertu","Montr®¶al","QC","45.5152265","-73.6847661"
"186","179233","3.55","20","China Ichiban","Pleasant Hills","PA","40.3375560832","-79.9761933088"
"187","176208","3","5","Pick Up Stix","Las Vegas","NV","36.1994452","-115.242678"
"188","50786","4.14285714285714","42","China II Denver","Denver","NC","35.446547","-80.998802"
"189","121823","2.86666666666667","15","Kenny's Gourmet","Richmond Hill","ON","43.8833448352","-79.3881602213"
"190","161748","3.91304347826087","23","Wok Box","Calgary","AB","51.0384273586","-114.2074015429"
"191","166646","3.33333333333333","6","Pink Pearl Chinese Restaurant & Lounge","Calgary","AB","51.0455991","-114.0690246"
"192","20473","2.82198952879581","191","Pei Wei","Tempe","AZ","33.3613781","-111.9103763"
"193","159423","3.53191489361702","47","Inchin's Bamboo Garden","Charlotte","NC","35.3164051","-80.7400202"
"194","169492","3.56410256410256","39","China Sea by CSU","Cleveland","OH","41.5012603","-81.6774073"
"195","12460","3.5531914893617","94","Xiao Long Bao","Toronto","ON","43.7965809379","-79.2699234188"
"196","118749","2.96551724137931","58","Jade Garden","Madison","WI","43.0548573","-89.3968559"
"197","105242","3.94010416666667","384","Chou's Kitchen","Chandler","AZ","33.3186921","-111.8606921"
"198","140209","2","6","Rice Inc - Chinese Cuisine","Charlotte","NC","35.2284606","-80.8432281"
"199","138081","4.66666666666667","3","Jun's Kitchen","Toronto","ON","43.7148285","-79.3051561"
"200","66199","4.18666666666667","75","Best Wok","Charlotte","NC","35.140593","-80.7376132"
"201","103018","3.66666666666667","3","Peter's Chung King","Toronto","ON","43.6576924","-79.4008466"
"202","51960","3.22222222222222","9","The Star Fastfood","Mississauga","ON","43.567427862","-79.6595320478"
"203","44698","3.88888888888889","18","King Fong","Cleveland","OH","41.4543631","-81.7915459"
"204","10382","2.64285714285714","14","Panda Express","Mesa","AZ","33.3799224","-111.687266"
"205","7325","3.63492063492063","63","Tao Yuan Chinese Restaurant","Mesa","AZ","33.4142216","-111.7359993"
"206","57595","4.42857142857143","35","Meet Noodles","Mississauga","ON","43.5271593853","-79.6503189951"
"207","96354","3.78571428571429","14","Mr. Ma","Montr®¶al","QC","45.500956","-73.570186"
"208","148139","3.3125","32","Chang Jiang","Madison","WI","43.0505454","-89.5039768"
"209","177441","3.5","10","Asian Express","Fort Mill","SC","35.0066952","-80.9332362"
"210","87171","4.25396825396825","63","Liyuen","Phoenix","AZ","33.432961","-112.0827313"
"211","94096","3.77384196185286","367","Ling & Louie's Asian Bar and Grill","Scottsdale","AZ","33.581511","-111.879218"
"212","39521","2.04761904761905","21","Wai Wai Buffet & Grill","Canonsburg","PA","40.2634203","-80.1738365"
"213","29663","3.44444444444444","9","Regal Palace","Richmond Hill","ON","43.8639673","-79.4356744"
"214","113780","3.45070422535211","71","U & Me Restaurant","Calgary","AB","51.0506432","-114.0629234"
"215","23449","2.15384615384615","13","Hui Lau Shan","Markham","ON","43.8424652","-79.3869137"
"216","82159","3.6","5","La Fonderie","Laval","QC","45.571833","-73.7428976"
"217","131972","3.66666666666667","24","New Gum Do Chinese & American Restaurant","North Royalton","OH","41.31346","-81.725763"
"218","58109","3.05","20","TJ Buffet Sushi & Grill","Mayfield Heights","OH","41.5192352523","-81.467804946"
"219","152375","4.26315789473684","19","China King","Stoughton","WI","42.9162149495","-89.2203672297"
"220","2789","3.33333333333333","18","Imperial Dynasty Restaurant","Calgary","AB","51.155426759","-114.0531394058"
"221","155012","3.2258064516129","403","Mr Chow","Las Vegas","NV","36.1158925553","-115.1769327621"
"222","107804","3.67741935483871","31","Dragon Chinese Restaurant","Calgary","AB","51.0484329","-114.062013"
"223","18069","3.16129032258065","31","Viet Bistro","Madison","WI","43.0676216138","-89.3954412165"
"224","169752","3.13725490196078","51","China A Go Go","North Las Vegas","NV","36.2856959316","-115.1789733963"
"225","43983","4","4","Wokman Kitchen","Mississauga","ON","43.5978634","-79.5946016"
"226","154915","4.17241379310345","58","Chop Chop","Toronto","ON","43.6519395","-79.40702"
"227","51700","3.42857142857143","7","Safeway","Calgary","AB","51.1260968626","-114.2011462938"
"228","99721","3.11111111111111","9","Hunan Garden Restaurant","Markham","ON","43.8189308","-79.3306248"
"229","109984","3.58333333333333","96","Jimmy Wans","Pittsburgh","PA","40.4889019","-79.874634"
"230","155288","3.75","24","Caravelle","Montr®¶al","QC","45.4963264","-73.5738047"
"231","128064","3.46153846153846","26","Konner Chinese Restaurant","Toronto","ON","43.8050177706","-79.2876219749"
"232","49176","3.5","4","Golden Gate Express","Charlotte","NC","35.234572","-80.7376591"
"233","172560","2.75728155339806","103","Stir Crazy Fresh Asian Grill","Lyndhurst","OH","41.5031439","-81.5015117"
"234","109226","3.30612244897959","98","Wong's Jr","Peoria","AZ","33.5820044","-112.236958"
"235","145352","3.36","25","Dragon Pearl Restaurant","Calgary","AB","51.041420619","-114.0353220036"
"236","146210","3.22727272727273","66","South Asia Malaysian Cuisine","Toronto","ON","43.8146311","-79.2932514"
"237","138392","3","3","Jade Cafe","Las Vegas","NV","36.127612441","-115.1983186975"
"238","15242","3.74358974358974","39","Sichuan Kungfu Fish","Richmond Hill","ON","43.84831","-79.38224"
"239","15220","2.8","10","Miss Lin Cafe","Markham","ON","43.8540771509","-79.3382298173"
"240","149857","3.2258064516129","31","Panda Express","Las Vegas","NV","36.1417857","-115.1191783"
"241","62007","3.64285714285714","14","Hello Wonton Noodle","North York","ON","43.7732399","-79.4138733"
"242","141945","3.38461538461538","26","Lucky Wok","Phoenix","AZ","33.5609983","-112.0656565"
"243","169817","2.48571428571429","35","Richmond Court Restaurant","Markham","ON","43.8942187","-79.292914"
"244","173511","4.51020408163265","49","Szechuan Cuisine","Glendale","AZ","33.5679888","-112.1709779"
"245","8139","2","3","Bamboo Palace Buffet","Avondale","AZ","33.4517512","-112.3403341"
"246","155650","2.86206896551724","29","Restaurant Cuisine Cantonaise","Montr®¶al","QC","45.507047","-73.560486"
"247","63869","3.02994011976048","167","Skyview Fusion Cuisine","Markham","ON","43.844189","-79.3560497"
"248","91669","4.36363636363636","22","Dragon Island Chinese Restaurant","Phoenix","AZ","33.538144","-112.096976"
"249","108163","2.33333333333333","3","Main Garden Chinese Restaurant","Newmarket","ON","44.052621","-79.457016"
"250","66424","3.52173913043478","23","Sinopino Chinese Restaurant","Scarborough","ON","43.7920242","-79.2493818"
"251","53629","3.16666666666667","12","Yogi Noodle Delight","Richmond Hill","ON","43.8471466","-79.3789542"
"252","92778","3.03389830508475","59","Mandarin Gourmet","Pittsburgh","PA","40.4391496","-80.0017417"
"253","180500","3.58947368421053","190","Federick Restaurant","Markham","ON","43.8511974","-79.2535285"
"254","151709","4.17818181818182","275","Jim Chai Kee","Richmond Hill","ON","43.844378229","-79.3877578013"
"255","39066","3.79591836734694","98","Umai Sushi & Asian Bistro","Charlotte","NC","35.117274","-80.856801"
"256","41635","3.56500956022945","1046","Ping Pang Pong","Las Vegas","NV","36.116901","-115.193512"
"257","39765","2","16","Yen's Gourmet","Pittsburgh","PA","40.4610218","-79.922675"
"258","67920","2.33333333333333","3","Happy Garden","Tolleson","AZ","33.4505887","-112.2603133"
"259","149921","3.18840579710145","138","HuHot Mongolian Grill","Madison","WI","43.0732552","-89.5266501"
"260","146219","3.66666666666667","9","Urban Rice","Calgary","AB","51.0504766","-114.0631932"
"261","102593","1","10","Ho Lee Chow","Toronto","ON","43.6865959","-79.3098439"
"262","95769","4","62","Juicy Dumpling","Toronto","ON","43.6527250786","-79.3986365944"
"263","172462","3.55","20","Garden Hong Kong Cafe","Markham","ON","43.8560791401","-79.3036099523"
"264","89354","3.87096774193548","31","New York Restaurant","Cornelius","NC","35.4826458","-80.8601039"
"265","51331","3.54237288135593","59","Lucky Moose Food Mart","Toronto","ON","43.6533714","-79.3942879"
"266","35030","3.55555555555556","18","Golden Crown Chinese Restaurant","Amherst","OH","41.4166352","-82.207212"
"267","60627","2.92207792207792","77","QJD Peking Duck Restaurant","Markham","ON","43.8167167","-79.3483598"
"268","95205","2.73684210526316","19","House of Wong","Scarborough","ON","43.773573","-79.182994"
"269","62317","2.45","20","Asian Garden","Pittsburgh","PA","40.358953","-80.029218"
"270","171938","4.15135135135135","185","Wok Wei Asian Cuisine","Goodyear","AZ","33.4577293396","-112.3938217163"
"271","29017","3","9","Panda","Pittsburgh","PA","40.441887","-80.07068"
"272","87174","2.18181818181818","11","China King Super Buffet","Charlotte","NC","35.165117","-80.8797953"
"273","24060","3.55555555555556","9","Stone Cafe","Richmond Hill","ON","43.8403979","-79.4000677"
"274","182482","2.83333333333333","12","Fusion Flame","Brampton","ON","43.7050364","-79.7258316"
"275","83588","1","3","Pacific Wok And Grill","Toronto","ON","43.8097802905","-79.2694369155"
"276","86298","3.39393939393939","33","Pine House Cafe","Toronto","ON","43.8318675265","-79.2659023002"
"277","72270","3.45652173913043","46","Dong Kee","Toronto","ON","43.8194673","-79.2948607"
"278","39520","3.69090909090909","55","Hunan Park","Charlotte","NC","35.372159","-80.782485"
"279","117720","3.63636363636364","11","Shanghai Wok by B & Y","Northfield","OH","41.3423913196","-81.5295235813"
"280","68002","2.3","20","Panda Express","Glendale","AZ","33.5088914","-112.2646352"
"281","67387","4.13333333333333","15","Kar Hing","East Pittsburgh","PA","40.4083938599","-79.8406982422"
"282","115999","3.36363636363636","66","Bamboo Buddha Chinese Resturant","Toronto","ON","43.6435286","-79.4051044"
"283","94790","4.56521739130435","23","The Dumpling Shop","Toronto","ON","43.7679712","-79.4013625"
"284","154765","3.67391304347826","92","Panda Wok Asian Cuisine","Lakewood","OH","41.480965","-81.769484"
"285","51166","3.16129032258065","93","China Jade","Scottsdale","AZ","33.6191922","-111.8962376"
"286","158088","2.28571428571429","14","Yummy Grill Buffet","Chandler","AZ","33.2762606274","-111.7913389206"
"287","15259","3.32","25","Imp®¶rial","Montr®¶al","QC","45.507639","-73.559486"
"288","108160","3.75","12","Asian Garden","Concord","NC","35.443585","-80.6234981"
"289","77520","4.20560747663551","107","Taipei South","Charlotte","NC","35.092986","-80.8591842"
